period,stock_symbol,ordinary_shares_number,share_issued,total_debt,cash_and_cash_equivalents
2023-12-31 00:00:00,GOOGL,12460000000.00,12460000000.00,28504000000.00,24048000000.00
2022-12-31 00:00:00,GOOGL,12849000000.00,12849000000.00,29679000000.00,21879000000.00
2021-12-31 00:00:00,GOOGL,13242420000.00,13242420000.00,28395000000.00,20945000000.00
2020-12-31 00:00:00,GOOGL,13504440000.00,13504440000.00,26772000000.00,26465000000.00
2019-12-31 00:00:00,GOOGL,,,,
2023-12-31 00:00:00,GOOG,12460000000.00,12460000000.00,28504000000.00,24048000000.00
2022-12-31 00:00:00,GOOG,12849000000.00,12849000000.00,29679000000.00,21879000000.00
2021-12-31 00:00:00,GOOG,13242420000.00,13242420000.00,28395000000.00,20945000000.00
2020-12-31 00:00:00,GOOG,13504440000.00,13504440000.00,26772000000.00,26465000000.00
2019-12-31 00:00:00,GOOG,,,,
2023-12-31 00:00:00,MO,1763461775.00,2805961317.00,26233000000.00,3686000000.00
2022-12-31 00:00:00,MO,1785534122.00,2805961317.00,26680000000.00,4030000000.00
2021-12-31 00:00:00,MO,1823175618.00,2805961317.00,28044000000.00,4544000000.00
2020-12-31 00:00:00,MO,1858419165.00,2805961317.00,29471000000.00,4945000000.00
2019-12-31 00:00:00,MO,,,,
2023-12-31 00:00:00,AMZN,10383000000.00,10898000000.00,135611000000.00,73387000000.00
2022-12-31 00:00:00,AMZN,10242000000.00,10757000000.00,140118000000.00,53888000000.00
2021-12-31 00:00:00,AMZN,10180000000.00,10640000000.00,116395000000.00,36220000000.00
2020-12-31 00:00:00,AMZN,10060000000.00,10540000000.00,84389000000.00,42122000000.00
2019-12-31 00:00:00,AMZN,,,,
2024-06-30 00:00:00,AMCR,1445343212.00,1446343212.00,7187000000.00,588000000.00
2023-06-30 00:00:00,AMCR,1447000000.00,1448000000.00,7209000000.00,689000000.00
2022-06-30 00:00:00,AMCR,1487000000.00,1489000000.00,6983000000.00,775000000.00
