period,stock_symbol,ebitda,ebit,diluted_eps,basic_eps,net_income,tax_provision,pretax_income,operating_income,operating_expense,gross_profit,total_revenue,operating_revenue
2021-12-31 00:00:00,CTRA,2257000000.00,1564000000.00,2.3000,2.3000,1158000000.00,344000000.00,1502000000.00,1566000000.00,371000000.00,1937000000.00,3449000000.00,3657000000.00
2020-12-31 00:00:00,CTRA,691000000.00,296000000.00,0.5000,0.5000,201000000.00,41000000.00,242000000.00,296000000.00,135000000.00,431000000.00,1466000000.00,1405000000.00
2019-12-31 00:00:00,CTRA,,,,,,,,,,,,
2024-01-31 00:00:00,CRWD,293827000.00,148573000.00,0.3700,0.3700,89327000.00,32232000.00,122817000.00,-1995000.00,2301827000.00,2299832000.00,3055555000.00,3055555000.00
2023-01-31 00:00:00,CRWD,-40754000.00,-134564000.00,-0.7900,-0.7900,-183245000.00,22402000.00,-159883000.00,-190112000.00,1830117000.00,1640005000.00,2241236000.00,2241236000.00
2022-01-31 00:00:00,CRWD,-65982000.00,-134792000.00,-1.0300,-1.0300,-234802000.00,72355000.00,-160023000.00,-142548000.00,1210921000.00,1068373000.00,1451594000.00,1451594000.00
2021-01-31 00:00:00,CRWD,-46152000.00,-86310000.00,-0.4300,-0.4300,-92629000.00,4760000.00,-87869000.00,-92529000.00,737422000.00,644893000.00,874438000.00,874438000.00
2020-01-31 00:00:00,CRWD,,,,,,,,,,,,
2023-12-31 00:00:00,CCI,4103000000.00,2349000000.00,3.4600,3.4600,1502000000.00,26000000.00,1528000000.00,2488000000.00,2513000000.00,5001000000.00,6981000000.00,6981000000.00
2022-12-31 00:00:00,CCI,4071000000.00,2364000000.00,3.8600,3.8700,1675000000.00,16000000.00,1691000000.00,2433000000.00,2485000000.00,4918000000.00,6986000000.00,6986000000.00
2021-12-31 00:00:00,CCI,3455000000.00,1811000000.00,2.5300,2.5400,1096000000.00,21000000.00,1179000000.00,1878000000.00,2469000000.00,4347000000.00,6340000000.00,6340000000.00
2020-12-31 00:00:00,CCI,3350000000.00,1742000000.00,2.3500,2.3600,1056000000.00,20000000.00,1076000000.00,1852000000.00,2019000000.00,3871000000.00,5840000000.00,5840000000.00
2019-12-31 00:00:00,CCI,,,,,,,,,,,,
2023-12-31 00:00:00,CSX,7311000000.00,5700000000.00,1.8500,1.8500,3715000000.00,1176000000.00,4891000000.00,5556000000.00,-29000000.00,5527000000.00,14657000000.00,14079000000.00
2022-12-31 00:00:00,CSX,7656000000.00,6156000000.00,1.9500,2.0165,4166000000.00,1248000000.00,5414000000.00,5864000000.00,-79000000.00,5785000000.00,14853000000.00,13945000000.00
2021-12-31 00:00:00,CSX,7093000000.00,5673000000.00,1.6800,1.7171,3781000000.00,1170000000.00,4951000000.00,5204000000.00,-64000000.00,5140000000.00,12522000000.00,11778000000.00
2020-12-31 00:00:00,CSX,5764000000.00,4381000000.00,1.2000,1.2080,2765000000.00,862000000.00,3627000000.00,4369000000.00,-42000000.00,4327000000.00,10583000000.00,10175000000.00
2019-12-31 00:00:00,CSX,,,,,,,,,,,,
2023-12-31 00:00:00,CMI,3025000000.00,2001000000.00,5.1500,5.1900,735000000.00,786000000.00,1626000000.00,1412000000.00,6837000000.00,8249000000.00,34065000000.00,34065000000.00
2022-12-31 00:00:00,CMI,3802000000.00,3018000000.00,15.1200,15.2000,2151000000.00,636000000.00,2819000000.00,2661000000.00,4058000000.00,6719000000.00,28074000000.00,28074000000.00
2021-12-31 00:00:00,CMI,3524000000.00,2862000000.00,14.6100,14.7400,2131000000.00,587000000.00,2751000000.00,2200000000.00,3495000000.00,5695000000.00,24021000000.00,24021000000.00
2020-12-31 00:00:00,CMI,3111000000.00,2438000000.00,12.0100,12.0700,1789000000.00,527000000.00,2338000000.00,1847000000.00,3047000000.00,4894000000.00,19811000000.00,19811000000.00
2019-12-31 00:00:00,CMI,,,,,,,,,,,,
2023-12-31 00:00:00,CVS,18197000000.00,13831000000.00,6.4700,6.4900,8344000000.00,2805000000.00,11173000000.00,14599000000.00,39832000000.00,54431000000.00,357776000000.00,357776000000.00
2022-12-31 00:00:00,CVS,12347000000.00,8123000000.00,3.2600,3.2900,4311000000.00,1509000000.00,5836000000.00,16290000000.00,38212000000.00,54502000000.00,322467000000.00,322467000000.00
2021-12-31 00:00:00,CVS,17526000000.00,13040000000.00,5.9500,6.0000,8001000000.00,2548000000.00,10537000000.00,15099000000.00,37021000000.00,52120000000.00,292111000000.00,292111000000.00
2020-12-31 00:00:00,CVS,17118000000.00,12677000000.00,5.4600,5.4800,7179000000.00,2569000000.00,9770000000.00,13911000000.00,35135000000.00,49046000000.00,268706000000.00,268706000000.00
2019-12-31 00:00:00,CVS,,,,,,,,,,,,
